VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee,PU_Borough,PU_Zone,PU_service_zone,DO_Borough,DO_Zone,DO_service_zone
1,2025-06-01 00:02:50,2025-06-01 00:39:51,1,10.0,1,N,138,50,1,47.8,11.0,0.5,20.15,6.94,1.0,87.39,2.5,1.75,0.75,Queens,LaGuardia Airport,Airports,Manhattan,Clinton West,Yellow Zone
2,2025-06-01 00:11:27,2025-06-01 00:35:35,1,3.93,1,N,158,237,1,24.7,1.0,0.5,6.09,0.0,1.0,36.54,2.5,0.0,0.75,Manhattan,Meatpacking/West Village West,Yellow Zone,Manhattan,Upper East Side South,Yellow Zone
1,2025-06-01 00:43:47,2025-06-01 00:49:16,0,0.7,1,N,230,163,1,7.2,4.25,0.5,2.59,0.0,1.0,15.54,2.5,0.0,0.75,Manhattan,Times Sq/Theatre District,Yellow Zone,Manhattan,Midtown North,Yellow Zone
1,2025-06-01 00:01:15,2025-06-01 00:42:16,1,17.0,2,N,132,232,1,70.0,3.25,0.5,5.0,0.0,1.0,79.75,2.5,0.0,0.75,Queens,JFK Airport,Airports,Manhattan,Two Bridges/Seward Park,Yellow Zone
7,2025-06-01 00:16:32,2025-06-01 00:16:32,1,2.22,1,N,48,234,1,20.5,0.0,0.5,5.25,0.0,1.0,31.5,2.5,0.0,0.75,Manhattan,Clinton East,Yellow Zone,Manhattan,Union Sq,Yellow Zone
1,2025-06-01 00:05:23,2025-06-01 00:16:57,0,0.9,1,N,164,90,2,11.4,4.25,0.5,0.0,0.0,1.0,17.15,2.5,0.0,0.75,Manhattan,Midtown South,Yellow Zone,Manhattan,Flatiron,Yellow Zone
1,2025-06-01 00:23:04,2025-06-01 00:35:25,0,1.9,1,N,246,113,1,12.8,4.25,0.5,3.7,0.0,1.0,22.25,2.5,0.0,0.75,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,Manhattan,Greenwich Village North,Yellow Zone
1,2025-06-01 00:37:37,2025-06-01 00:42:28,0,0.7,1,N,113,113,1,7.2,4.25,0.5,2.55,0.0,1.0,15.5,2.5,0.0,0.75,Manhattan,Greenwich Village North,Yellow Zone,Manhattan,Greenwich Village North,Yellow Zone
1,2025-06-01 00:44:28,2025-06-01 00:50:01,0,0.5,1,N,249,249,1,7.2,4.25,0.5,2.55,0.0,1.0,15.5,2.5,0.0,0.75,Manhattan,West Village,Yellow Zone,Manhattan,West Village,Yellow Zone
1,2025-06-01 00:52:28,2025-06-01 01:03:29,1,2.5,1,N,249,142,1,13.5,4.25,0.5,5.75,0.0,1.0,25.0,2.5,0.0,0.75,Manhattan,West Village,Yellow Zone,Manhattan,Lincoln Square East,Yellow Zone
2,2025-06-01 00:06:41,2025-06-01 00:10:30,2,0.53,1,N,48,163,1,5.8,1.0,0.5,2.31,0.0,1.0,13.86,2.5,0.0,0.75,Manhattan,Clinton East,Yellow Zone,Manhattan,Midtown North,Yellow Zone
2,2025-06-01 00:15:53,2025-06-01 00:22:02,1,0.93,1,N,163,143,1,7.9,1.0,0.5,2.0,0.0,1.0,15.65,2.5,0.0,0.75,Manhattan,Midtown North,Yellow Zone,Manhattan,Lincoln Square West,Yellow Zone
2,2025-06-01 00:13:58,2025-06-01 00:21:10,3,2.31,1,N,107,140,1,11.4,1.0,0.5,3.43,0.0,1.0,20.58,2.5,0.0,0.75,Manhattan,Gramercy,Yellow Zone,Manhattan,Lenox Hill East,Yellow Zone
2,2025-06-01 00:24:20,2025-06-01 00:44:24,1,7.34,1,N,140,80,1,32.4,1.0,0.5,7.63,0.0,1.0,45.78,2.5,0.0,0.75,Manhattan,Lenox Hill East,Yellow Zone,Brooklyn,East Williamsburg,Boro Zone
2,2025-06-01 00:08:44,2025-06-01 00:20:50,3,1.94,1,N,263,239,1,12.8,1.0,0.5,3.56,0.0,1.0,21.36,2.5,0.0,0.0,Manhattan,Yorkville West,Yellow Zone,Manhattan,Upper West Side South,Yellow Zone
1,2025-06-01 00:05:41,2025-06-01 00:11:54,2,0.6,1,N,230,161,1,7.2,4.25,0.5,2.6,0.0,1.0,15.55,2.5,0.0,0.75,Manhattan,Times Sq/Theatre District,Yellow Zone,Manhattan,Midtown Center,Yellow Zone
1,2025-06-01 00:13:12,2025-06-01 00:15:40,2,0.4,1,N,161,230,1,4.4,4.25,0.5,2.05,0.0,1.0,12.2,2.5,0.0,0.75,Manhattan,Midtown Center,Yellow Zone,Manhattan,Times Sq/Theatre District,Yellow Zone
1,2025-06-01 00:30:03,2025-06-01 00:40:00,3,2.1,1,N,230,141,1,11.4,4.25,0.5,4.3,0.0,1.0,21.45,2.5,0.0,0.75,Manhattan,Times Sq/Theatre District,Yellow Zone,Manhattan,Lenox Hill West,Yellow Zone
1,2025-06-01 00:42:14,2025-06-01 00:47:04,4,1.0,1,N,141,229,1,7.2,4.25,0.5,2.6,0.0,1.0,15.55,2.5,0.0,0.75,Manhattan,Lenox Hill West,Yellow Zone,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone
1,2025-06-01 00:16:42,2025-06-01 00:22:37,1,1.0,1,N,234,68,1,7.9,4.25,0.5,2.7,0.0,1.0,16.35,2.5,0.0,0.75,Manhattan,Union Sq,Yellow Zone,Manhattan,East Chelsea,Yellow Zone
